Lunar Portal Staff,Summon,Moon Lord,11.11
Magic Dagger,Mage,Mimic,14.29
Magnet Sphere,Mage,Armored Bones,0.25
Mandible Blade,Melee,Antlion Charger,2.0
Marrow,Ranged,Skeleton Archer,0.5
Meowmere,Melee,Moon Lord,11.11
Mistletoe,Melee,Pen Sqrt.,21.0
Nettle Burst,Mage,Plantera (if not first defeat),16.67
Nimbus Rod,Mage,Angry Nimbus,6.67
North Pole,Melee,Ice Queen,6.11
Paladin's Hammer,Melee,Paladin,2.86
Phantom Phoenix,Ranged,Ogre,5.0
Pirate Staff,Summon,Pirate (Deckhand/Corsair/Deadeye/Crossbower),0.05
Pirate Staff (C),Summon,Pirate Captain,0.2
Poison Staff,Mage,Black Recluse,2.5
Possessed Hatchet,Melee,Golem,12.5
Pygmy Staff,Summon,Plantera,25.0
Rainbow Crystal Staff,Summon,Moon Lord,11.11
Raven Staff,Summon,Pumpking,7.03
Razorblade Typhoon,Mage,Duke Fishron,20.0
Razorpine,Mage,Everscream,5.45
Rocket Launcher,Ranged,Skeleton Commando,5.0
S.D.M.G.,Ranged,Moon Lord,11.11
Shadowbeam Staff,Mage,Necromancer,2.5
Sky Dragon's Fury,Melee,Betsy,25.0
Sleepy Octopod,Melee,Ogre,5.0
Slime Gun,Ranged,King Slime,50.0
Slime Staff,Summon,Slimes,0.01
Sniper Rifle,Ranged,Skeleton Sniper,6.22
Snowball Launcher,Ranged,Snow Flinx,0.67
Snowman Cannon,Ranged,Ice Queen,6.11
Spectre Staff,Mage,Ragged Caster,2.5
Spiky Ball,Ranged,Goblin (Peon/Thief/Warrior/Sorcerer/Archer),49.75
Staff of Earth,Mage,Golem,12.5
Stake Launcher,Ranged,Mourning Wood,11.0
Star Wrath,Melee,Moon Lord,11.11
Stynger,Ranged,Golem,12.5
Tactical Shotgun,Ranged,Tactical Skeleton,6.22
Tempest Staff,Summon,Duke Fishron,20.0
Terrarian,Melee,Moon Lord,11.11
The Eye of Cthulhu,Melee,Mothron,25.0
The Horseman's Blade,Melee,Pumpking,7.03
Tome of Infinite Wisdom,Mage,Ogre,5.0
Tsunami,Ranged,Duke Fishron,20.0
Unholy Trident,Mage,Red Devil,3.33
Uzi,Ranged,Angry Trapper,0.5
Venus Magnum,Ranged,Plantera (if not first defeat),16.67
Wasp Gun,Mage,Plantera (if not first defeat),16.67
Xeno Staff,Summon,Martian Saucer,11.11
Xenopopper,Ranged,Martian Saucer,11.11
Yelets,Melee,Any enemy in the Jungle after defeating 1 Mechanical Boss,0.5
Zombie Arm,Melee,Zombie,0.4
